City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
39,Saposoa,PE,2021-12-20 19:13:08,-6.934,-76.7716,90.41,53,62,1.97
40,Hamina,FI,2021-12-20 19:13:08,60.5697,27.1979,13.28,87,100,10.09
41,Pisco,PE,2021-12-20 19:13:08,-13.7,-76.2167,69.85,78,20,8.05
42,Qaanaaq,GL,2021-12-20 19:13:09,77.484,-69.3632,22.51,66,100,10.54
43,Barrow,US,2021-12-20 19:13:09,71.2906,-156.7887,17.62,79,75,36.82
44,Kavaje,AL,2021-12-20 19:13:09,41.1856,19.5569,41.16,67,0,4.52
45,Atuona,PF,2021-12-20 19:13:10,-9.8,-139.0333,77.63,71,0,12.39
46,New Norfolk,AU,2021-12-20 19:14:10,-42.7826,147.0587,59.92,54,97,4.0
47,Souillac,MU,2021-12-20 19:14:11,-20.5167,57.5167,77.36,78,64,6.04
48,Avarua,CK,2021-12-20 19:14:11,-21.2078,-159.775,78.85,78,20,4.61
49,La Palma,US,2021-12-20 19:14:12,33.8464,-118.0467,68.11,60,20,1.01
50,Bambous Virieux,MU,2021-12-20 19:14:12,-20.3428,57.7575,77.22,78,48,7.05
51,Leningradskiy,RU,2021-12-20 19:14:13,69.3833,178.4167,-11.49,66,100,17.02
52,Cape Town,ZA,2021-12-20 19:10:09,-33.9258,18.4232,79.27,64,100,4.0
53,Kokopo,PG,2021-12-20 19:14:13,-4.352,152.2633,75.24,92,100,7.49
54,Saint Anthony,US,2021-12-20 19:14:14,45.0205,-93.218,25.25,59,1,5.99
55,Airai,TL,2021-12-20 19:14:14,-8.9266,125.4092,62.13,93,100,1.39
56,Topolobampo,MX,2021-12-20 19:14:14,25.6,-109.05,76.05,28,1,9.22
57,Liverpool,GB,2021-12-20 19:14:04,53.4106,-2.9779,42.3,85,90,1.99
58,Khatanga,RU,2021-12-20 19:07:09,71.9667,102.5,-14.89,97,97,11.5
59,Walvis Bay,NA,2021-12-20 19:14:15,-22.9575,14.5053,65.08,79,0,7.72
60,Tuktoyaktuk,CA,2021-12-20 19:14:15,69.4541,-133.0374,-0.63,96,100,20.18
61,Turukhansk,RU,2021-12-20 19:14:16,65.8167,87.9833,-34.73,95,20,3.24
62,Reconquista,AR,2021-12-20 19:14:16,-29.15,-59.65,105.58,21,92,8.7
63,Aracati,BR,2021-12-20 19:14:16,-4.5617,-37.7697,85.86,60,94,12.88
64,Westport,US,2021-12-20 19:10:46,41.1415,-73.3579,38.77,49,1,1.01
