City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
224,Kurunegala,LK,77.52,scattered clouds,7.4863,80.3623,Galhena Estate Buluwala
225,Mahanoro,MG,79.38,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
229,Wewak,PG,78.91,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
230,Mogadishu,SO,79.77,overcast clouds,2.0371,45.3438,Hotel Juba
232,Januaria,BR,82.71,light rain,-15.4833,-44.3667,Hotel Paraguassu
235,Port-Gentil,GA,84.16,thunderstorm,-0.7193,8.7815,Fengshui Residence
237,Lahat,ID,72.34,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
240,Iquitos,PE,86.04,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
241,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
247,Castro,BR,88.45,few clouds,-24.7911,-50.0119,CHACARA BAILLY
248,Sorong,ID,80.49,light rain,-0.8833,131.25,Waigo Splash Hotel
249,Bonthe,SL,84.25,broken clouds,7.5264,-12.505,Bonthe Holiday Village
251,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
252,Pangai,TO,81.41,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
254,Paita,PE,79.36,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
256,Axim,GH,83.28,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
260,Chuy,UY,77.31,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
263,Azare,NG,78.39,clear sky,11.6765,10.1948,Mallam Ayuba Compound
265,Isabela,PH,77.59,overcast clouds,6.7085,121.9711,Isawad Resort
268,Guarapari,BR,87.69,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
269,El Alto,PE,76.66,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
271,Porto Walter,BR,83.66,broken clouds,-8.2686,-72.7439,Secretaria de saúde
272,Gushikawa,JP,65.79,light rain,26.3544,127.8686,Kirari Guest House
275,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
277,Anito,PH,79.09,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
279,Hilo,US,69.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
281,Kolokani,ML,86.9,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
282,Bumba,CD,83.59,overcast clouds,2.1833,22.4667,Père Carlos
283,Kisangani,CD,80.98,overcast clouds,0.5167,25.2,Grand Ramela Hotel
284,Maxixe,MZ,80.42,scattered clouds,-23.8597,35.3472,Oceano
287,Saint-Joseph,RE,75.58,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
290,Hoi An,VN,71.56,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
295,Umm Lajj,SA,71.19,clear sky,25.0213,37.2685,Moon light Furnished Units
298,Klaeng,TH,78.94,scattered clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
299,Cozumel,MX,77.11,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
301,Kirakira,SB,81.05,overcast clouds,-10.4544,161.9205,SanBiz Lodge
303,Calderitas,MX,77.11,clear sky,18.55,-88.25,Hotel Hacienda Campestre
306,Manama,BH,67.98,clear sky,26.2154,50.5832,Al Safir Hotel
308,Tocopilla,CL,71.65,broken clouds,-22.092,-70.1979,Hotel Galvarino
309,Flinders,AU,70.21,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
310,Mossendjo,CG,74.43,light rain,-2.9506,12.7261,HOTEL D'ASSISE
311,Faanui,PF,82.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
317,Richards Bay,ZA,70.09,heavy intensity rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
319,Pampierstad,ZA,69.84,light rain,-27.7832,24.6877,BAROLONG METHODIST CHURCH
325,Ambon,ID,80.06,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
326,Cockburn Town,TC,82.36,few clouds,21.4612,-71.1419,Osprey Beach Hotel
329,Manakara,MG,77.95,scattered clouds,-22.1333,48.0167,La Residence Manakara
331,Sao Joaquim,BR,65.71,light rain,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
335,Hualmay,PE,73.44,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
337,Rio Grande,BR,82.51,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
339,Jawhar,SO,78.33,overcast clouds,2.7809,45.5005,hantiwadaag village part one
341,Bengkulu,ID,75.7,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
342,Rawson,AR,76.59,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
346,Arlit,NE,74.7,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
347,Livingstone,ZM,69.64,overcast clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
348,Labuhan,ID,80.37,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
